Plant,Treatment,Cu,Fe,K,Pb,Zn
L.perenne,HB,0.151920199501247,0.337057356608479,1720.34912718205,0.252668329177057,30.9565586034913
L.perenne,HB,0.118274111675127,0.268121827411167,1535.47208121827,0.197935702199662,30.9262436548223
L.perenne,HB,0.179174757281553,0.461019417475728,1690.7572815534,0.22,31.2707766990291
L.perenne,HB,0.141818181818182,0.371095571095571,1464.59673659674,0.200590520590521,28.5328205128205
L.perenne,Lit,0.038835443037975,0.028607594936709,218.189367088608,1.14680168776371,411.35746835443
L.perenne,Lit,0.073858267716535,0.062204724409449,198.651968503937,1.42421697287839,401.229921259843
L.perenne,Lit,0.125206812652068,0.03294403892944,184.027250608272,1.34342254663423,402.029197080292
L.perenne,Lit,0.113466334164589,0.062543640897756,153.822443890274,1.5236242726517,353.997007481297
L.perenne,C0,0.308093994778068,0.240313315926893,1618.79895561358,0.160944160139252,6.9223498694517
L.perenne,C0,0.243765903307888,0.250788804071247,1496.05089058524,0.134216658184902,4.8369465648855
L.perenne,C0,0.212982456140351,0.228070175438596,1545.82456140351,0.13821313283208,5.08315789473684
L.perenne,C0,0.116794258373206,0.297511961722488,1301.57894736842,0.144356714513557,2.45411483253589
L.perenne,C2,0.182628865979381,0.198092783505155,1879.34020618557,0.127568144329897,6.13551546391753
L.perenne,C2,0.207396593673966,0.405498783454988,1422.93917274939,0.096220600162206,8.56788321167883
L.perenne,C2,0.174272300469484,0.272488262910798,1357.20187793427,0.09055799687011,3.73666666666667
L.perenne,C2,0.180765550239234,0.448708133971292,1710.73684210526,0.066905709728868,3.70956937799043
L.perenne,C5,0.184321608040201,0.521256281407035,1175.8391959799,0.111902311557789,3.88733668341709
L.perenne,C5,0.229523809523809,0.439047619047619,1459.66917293233,0.148506198830409,5.01573934837093
L.perenne,C5,0.255572519083969,0.391348600508906,1480.01017811705,0.101137811704835,5.56997455470738
L.perenne,C5,0.189055690072639,0.3018401937046,1373.2784503632,0.128754705407587,3.42653753026634
E.sativa,HB,0.161912144702842,0.418914728682171,2380.60981912145,0.256571920757967,40.1071317829457
E.sativa,HB,0.091596244131455,0.524413145539906,2249.11737089202,0.293489827856025,37.7408920187793
E.sativa,HB,0.118916256157635,0.309458128078818,2391.90147783251,0.298653530377668,37.3056650246305
E.sativa,HB,0.131683673469388,0.514642857142857,2540.5306122449,0.182857142857143,35.3805102040816
E.sativa,Lit,0.081530864197531,0.042469135802469,175.213827160494,1.36931687242798,389.545679012346
E.sativa,Lit,0.066555819477435,0.040855106888361,212.476009501188,1.13532858273951,403.131116389549
E.sativa,Lit,0.082060301507538,0.016331658291457,195.083417085427,1.3208040201005,407.581909547739
E.sativa,Lit,0.113446601941748,0.145097087378641,168.360194174757,1.33964401294498,355.967475728155
E.sativa,C0,0.120997624703088,0.780902612826603,2648.24703087886,0.069010292953286,1.60042755344418
E.sativa,C0,0.144714285714286,1.12238095238095,2634.20952380952,0.197904761904762,1.95933333333333
E.sativa,C0,0.089817351598174,0.628721461187215,2452.91324200913,0.118247092846271,0.972420091324201
E.sativa,C0,0.148606356968215,0.766503667481663,2473.09535452323,0.127660961695192,1.82743276283619
E.sativa,C2,0.080052631578947,0.359105263157895,2322.77894736842,0.133900105263158,3.1561052631579
E.sativa,C2,0.122034739454094,0.227394540942928,1997.97518610422,0.044196029776675,4.46253101736973
E.sativa,C2,0.101616161616162,0.418383838383838,2014.26262626263,0.133271111111111,3.19656565656566
E.sativa,C2,0.149625935162095,0.621596009975062,2128.60847880299,0.146400665004156,8.62678304239402
E.sativa,C5,0.220265957446809,0.53468085106383,1657.77659574468,0.075122021276596,4.18648936170213
E.sativa,C5,0.113080808080808,0.417272727272727,2087.77777777778,0.064210471380471,2.62565656565657
E.sativa,C5,0.229900497512438,0.407860696517413,1792.55721393035,0.040043416252073,6.5163184079602
E.sativa,C5,0.164940047961631,0.303453237410072,1898.83932853717,0.108365979216627,4.38877697841727
